Unnamed: 0,Make,Model,Variant,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Doors,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Rear_Track,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Seating_Capacity,Seats_Material,Type,Start_/_Stop_Button,Audiosystem,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Distance_to_Empty,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Auto-Dimming_Rear-View_Mirror,Gear_Indicator,Engine_Immobilizer,Seat_Back_Pockets,ABS_(Anti-lock_Braking_System),Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Parking_Assistance,Key_Off_Reminder,Infotainment_Screen,Multifunction_Steering_Wheel,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,ESP_(Electronic_Stability_Program),Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,price,cluster
0,Tata,Nano Genx,Xt,624,2,2.0,RWD (Rear Wheel Drive),"Rear, Transverse",Injection,24.0,Petrol,Hatchback,5,23.6,,4,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1315 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,37.48,51,4,Fabric,Manual,1,CD Player with USB & Aux-in,2 years /75000 Kms (years/distance whichever comes first),1,Internal_Boot_lid,110.0,1,1,1,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,0,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,4097,2
1,Tata,Nano Genx,Xe,624,2,2.0,RWD (Rear Wheel Drive),"Rear, Transverse",Injection,24.0,Petrol,Hatchback,5,23.6,,4,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1315 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,37.48,51,4,Fabric,Manual,0,Not on offer,2 years /75000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,110.0,0,1,1,1,2 years /150000 Kms (years/distance whichever comes first),0,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,0,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,3310,2
2,Tata,Nano Genx,Emax Xm,624,2,2.0,RWD (Rear Wheel Drive),"Rear, Transverse",Injection,15.0,CNG,Hatchback,4,3.977853492333897,36 km/kg,4,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1315 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,37.48,51,4,Fabric,Manual,0,Not on offer,2 years /75000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,110.0,0,1,1,1,2 years /150000 Kms (years/distance whichever comes first),0,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,1,0,0,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,4153,2
3,Tata,Nano Genx,Xta,624,2,2.0,RWD (Rear Wheel Drive),"Rear, Transverse",Injection,24.0,Petrol,Hatchback,5,21.9,,5,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1315 ,Electric_Power_Steering,Front_Power_Windows,1,Remote,37.48,51,4,Fabric,Automatic,1,CD Player with USB & Aux-in,2 years /75000 Kms (years/distance whichever comes first),1,Internal_Boot_lid,94.0,1,1,1,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,1,0,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,4686,2
4,Tata,Nano Genx,Xm,624,2,2.0,RWD (Rear Wheel Drive),"Rear, Transverse",Injection,24.0,Petrol,Hatchback,5,23.6,,4,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1315 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,37.48,51,4,Fabric,Manual,0,Not on offer,2 years /75000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,110.0,0,1,1,1,2 years /150000 Kms (years/distance whichever comes first),0,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,0,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,3811,2
5,Tata,Nano Genx,Xma,624,2,2.0,RWD (Rear Wheel Drive),"Rear, Transverse",Injection,24.0,Petrol,Hatchback,5,21.9,,5,180.0,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1315 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,37.48,51,4,Fabric,Automatic,0,Not on offer,2 years /75000 Kms (years/distance whichever comes first),0,Internal_Boot_lid,94.0,0,1,1,1,2 years /150000 Kms (years/distance whichever comes first),0,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,1,0,0,0,Driver frontal airbag,1,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,4407,2
6,Datsun,Redi-Go,D,799,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,25.17,,5,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1540 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,53.26,72,5,Fabric,Manual,0,Not on offer,2 years / Unlimited Kms,0,Internal_Boot_lid,222.0,0,1,1,1,2 Years/Unlimited Kms (Whichever comes earlier),0,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,1,0,1,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,3915,2
7,Datsun,Redi-Go,T,799,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,25.17,,5,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1540 ,Electric_Power_Steering,Front_Power_Windows,1,Smart Key,53.26,72,5,Fabric,Manual,0,CD Player with USB & Aux-in,2 years / Unlimited Kms,0,Internal_Boot_lid,222.0,1,1,1,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,1,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,4925,2
8,Datsun,Redi-Go,A,799,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,25.17,,5,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1540 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,53.26,72,5,Fabric,Manual,0,Not on offer,2 years / Unlimited Kms,0,Internal_Boot_lid,222.0,0,1,1,1,2 Years/Unlimited Kms (Whichever comes earlier),0,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,1,0,0,Driver frontal airbag,0,0,0,0,3,No_Parking_Assistance,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,4667,2
9,Datsun,Redi-Go,S,799,3,4.0,FWD (Front Wheel Drive),"Front, Transverse",Injection,28.0,Petrol,Hatchback,5,25.17,,5,185.0,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,1540 ,Electric_Power_Steering,All_Power_Windows,1,Smart Key,53.26,72,5,Fabric,Manual,0,CD Player with USB & Aux-in,2 years / Unlimited Kms,0,Remote_Internal_Boot_lid,222.0,0,1,1,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,1,Driver_Front_sun_Visor,Not Applicable,0,0,1,0,0,Driver frontal airbag,0,0,0,0,3,Rear sensors,0,No_Infotainment_Screen,0,0,Manual Adjustment,0,0,0,0,0,0,0,0,5068,2
